run_id	ended_at	stage	metric	value
jqa-cycle-260913-101232-18576	2026-09-13 10:13:01	build	projects_done	1
jqa-cycle-260913-101232-18576	2026-09-13 10:13:01	build	projects_failed	0
0
jqa-cycle-260913-101232-18576	2026-09-13 10:13:01	build	projects_total	1
jqa-cycle-260913-101232-18576	2026-09-13 10:13:01	cycle	store_kib	4287880
jqa-cycle-260913-101308-19143	2026-09-13 11:19:07	scan	projects_done	118
jqa-cycle-260913-101308-19143	2026-09-13 11:19:07	scan	projects_failed	0
0
jqa-cycle-260913-101308-19143	2026-09-13 11:19:07	scan	projects_total	125
jqa-cycle-260913-101308-19143	2026-09-13 11:19:07	cycle	store_kib	4287880
jqa-cycle-260913-111912-62116	2026-09-13 11:52:01	github	repos_scanned	112
jqa-cycle-260913-111912-62116	2026-09-13 11:52:01	github	api_walks	5
jqa-cycle-260913-111912-62116	2026-09-13 11:52:01	github	coverage_warnings	2
jqa-cycle-260913-111912-62116	2026-09-13 11:52:01	cycle	store_kib	4287880
jqa-cycle-260913-115205-81352	2026-09-13 11:52:45	cycle	store_kib	4287880
jqa-cycle-260913-120258-88209		scan	projects_done	5
jqa-cycle-260913-120258-88209		scan	projects_failed	0
0
jqa-cycle-260913-120258-88209		scan	projects_total	125
jqa-cycle-260914-030152-85357	2026-09-14 03:34:17	build	projects_done	7
jqa-cycle-260914-030152-85357	2026-09-14 03:34:17	build	projects_failed	0
0
jqa-cycle-260914-030152-85357	2026-09-14 03:34:17	build	projects_total	7
jqa-cycle-260914-030152-85357	2026-09-14 03:34:17	cycle	store_kib	4036340
jqa-cycle-260914-033429-94155	2026-09-14 10:39:18	scan	projects_done	118
jqa-cycle-260914-033429-94155	2026-09-14 10:39:18	scan	projects_failed	0
0
jqa-cycle-260914-033429-94155	2026-09-14 10:39:18	scan	projects_total	125
jqa-cycle-260914-033429-94155	2026-09-14 10:39:18	cycle	store_kib	4036340
jqa-cycle-260914-103936-34157		github	repos_scanned	6
jqa-cycle-260914-103936-34157		github	api_walks	8
jqa-cycle-260914-103936-34157		github	coverage_warnings	2
jqa-cycle-260914-103936-34157		cycle	store_kib	4036340
jqa-cycle-260914-141433-5608	2026-09-14 14:36:12	build	projects_done	18
jqa-cycle-260914-141433-5608	2026-09-14 14:36:12	build	projects_failed	2
jqa-cycle-260914-141433-5608	2026-09-14 14:36:12	build	projects_total	19
jqa-cycle-260914-141433-5608	2026-09-14 14:36:12	cycle	store_kib	4218088
jqa-cycle-260914-143616-23483	2026-09-14 15:40:17	scan	projects_done	118
jqa-cycle-260914-143616-23483	2026-09-14 15:40:17	scan	projects_failed	0
0
jqa-cycle-260914-143616-23483	2026-09-14 15:40:17	scan	projects_total	125
jqa-cycle-260914-143616-23483	2026-09-14 15:40:17	cycle	store_kib	4218088
jqa-cycle-260914-154020-59725	2026-09-14 16:17:57	github	repos_scanned	112
jqa-cycle-260914-154020-59725	2026-09-14 16:17:57	github	api_walks	6
jqa-cycle-260914-154020-59725	2026-09-14 16:17:57	github	coverage_warnings	3
jqa-cycle-260914-154020-59725	2026-09-14 16:17:57	cycle	store_kib	4218088
jqa-cycle-260914-161801-67446	2026-09-14 16:18:41	cycle	store_kib	4218088
jqa-cycle-260915-030204-11154	2026-09-15 04:30:36	build	projects_done	15
jqa-cycle-260915-030204-11154	2026-09-15 04:30:36	build	projects_failed	0
0
jqa-cycle-260915-030204-11154	2026-09-15 04:30:36	build	projects_total	17
jqa-cycle-260915-030204-11154	2026-09-15 04:30:36	cycle	store_kib	4230876
jqa-cycle-260915-043047-33232	2026-09-15 13:33:45	scan	projects_done	118
jqa-cycle-260915-043047-33232	2026-09-15 13:33:45	scan	projects_failed	0
0
jqa-cycle-260915-043047-33232	2026-09-15 13:33:45	scan	projects_total	125
jqa-cycle-260915-043047-33232	2026-09-15 13:33:45	cycle	store_kib	4230876
jqa-cycle-260915-133358-33363	2026-09-15 14:34:42	github	repos_scanned	112
jqa-cycle-260915-133358-33363	2026-09-15 14:34:42	github	api_walks	40
jqa-cycle-260915-133358-33363	2026-09-15 14:34:42	github	coverage_warnings	19
jqa-cycle-260915-133358-33363	2026-09-15 14:34:42	cycle	store_kib	4230876
jqa-cycle-260915-143458-45301	2026-09-15 14:41:13	cycle	store_kib	4230876
jqa-cycle-260916-030139-39171	2026-09-16 05:35:52	build	projects_done	36
jqa-cycle-260916-030139-39171	2026-09-16 05:35:52	build	projects_failed	2
jqa-cycle-260916-030139-39171	2026-09-16 05:35:52	build	projects_total	37
jqa-cycle-260916-030139-39171	2026-09-16 05:35:52	cycle	store_kib	4216564
jqa-cycle-260916-053608-83611	2026-09-16 13:36:30	scan	projects_done	118
jqa-cycle-260916-053608-83611	2026-09-16 13:36:30	scan	projects_failed	0
0
jqa-cycle-260916-053608-83611	2026-09-16 13:36:30	scan	projects_total	125
jqa-cycle-260916-053608-83611	2026-09-16 13:36:30	cycle	store_kib	4216564
jqa-cycle-260916-133643-33327	2026-09-16 14:39:18	github	repos_scanned	112
jqa-cycle-260916-133643-33327	2026-09-16 14:39:18	github	api_walks	21
jqa-cycle-260916-133643-33327	2026-09-16 14:39:18	github	coverage_warnings	16
jqa-cycle-260916-133643-33327	2026-09-16 14:39:18	cycle	store_kib	4216564
jqa-cycle-260916-143931-46169	2026-09-16 14:43:28	cycle	store_kib	4216564
jqa-cycle-260917-030133-22723	2026-09-17 05:13:16	build	projects_done	25
jqa-cycle-260917-030133-22723	2026-09-17 05:13:16	build	projects_failed	2
jqa-cycle-260917-030133-22723	2026-09-17 05:13:16	build	projects_total	25
jqa-cycle-260917-030133-22723	2026-09-17 05:13:16	cycle	store_kib	4206432
jqa-cycle-260917-051330-60178	2026-09-17 13:48:46	scan	projects_done	118
jqa-cycle-260917-051330-60178	2026-09-17 13:48:46	scan	projects_failed	0
0
jqa-cycle-260917-051330-60178	2026-09-17 13:48:46	scan	projects_total	125
jqa-cycle-260917-051330-60178	2026-09-17 13:48:46	cycle	store_kib	4206432
jqa-cycle-260917-134858-67867	2026-09-17 14:52:58	github	repos_scanned	112
jqa-cycle-260917-134858-67867	2026-09-17 14:52:58	github	api_walks	10
jqa-cycle-260917-134858-67867	2026-09-17 14:52:58	github	coverage_warnings	5
jqa-cycle-260917-134858-67867	2026-09-17 14:52:58	cycle	store_kib	4206432
jqa-cycle-260917-145310-12235	2026-09-17 14:57:17	cycle	store_kib	4206432
jqa-cycle-260918-030630-43564	2026-09-18 05:32:06	build	projects_done	27
jqa-cycle-260918-030630-43564	2026-09-18 05:32:06	build	projects_failed	2
jqa-cycle-260918-030630-43564	2026-09-18 05:32:06	build	projects_total	27
jqa-cycle-260918-053225-86241		scan	projects_done	17
jqa-cycle-260918-053225-86241		scan	projects_failed	0
0
jqa-cycle-260918-053225-86241		scan	projects_total	125
jqa-cycle-260918-104956-55870	2026-09-18 11:18:38	build	projects_done	46
jqa-cycle-260918-104956-55870	2026-09-18 11:18:38	build	projects_failed	2
jqa-cycle-260918-104956-55870	2026-09-18 11:18:38	build	projects_total	46
jqa-cycle-260918-104956-55870	2026-09-18 11:18:38	cycle	store_kib	4406044
jqa-cycle-260918-111843-78790	2026-09-18 12:17:51	scan	projects_done	118
jqa-cycle-260918-111843-78790	2026-09-18 12:17:51	scan	projects_failed	0
0
jqa-cycle-260918-111843-78790	2026-09-18 12:17:51	scan	projects_total	125
jqa-cycle-260918-111843-78790	2026-09-18 12:17:51	cycle	store_kib	4406044
jqa-cycle-260918-121756-6929	2026-09-18 12:53:14	github	repos_scanned	112
jqa-cycle-260918-121756-6929	2026-09-18 12:53:14	github	api_walks	9
jqa-cycle-260918-121756-6929	2026-09-18 12:53:14	github	coverage_warnings	4
jqa-cycle-260918-121756-6929	2026-09-18 12:53:14	cycle	store_kib	4406044
jqa-cycle-260918-125318-16423	2026-09-18 12:54:10	cycle	store_kib	4406044
jqa-cycle-260919-030114-7334	2026-09-19 04:05:43	build	projects_done	11
jqa-cycle-260919-030114-7334	2026-09-19 04:05:43	build	projects_failed	1
jqa-cycle-260919-030114-7334	2026-09-19 04:05:43	build	projects_total	12
jqa-cycle-260919-030114-7334	2026-09-19 04:05:43	cycle	store_kib	4294936
jqa-cycle-260919-040556-31869	2026-09-19 09:12:58	scan	projects_done	118
jqa-cycle-260919-040556-31869	2026-09-19 09:12:58	scan	projects_failed	0
0
jqa-cycle-260919-040556-31869	2026-09-19 09:12:58	scan	projects_total	125
jqa-cycle-260919-040556-31869	2026-09-19 09:12:58	cycle	store_kib	4294936
jqa-cycle-260919-091309-14683	2026-09-19 09:55:41	github	repos_scanned	112
jqa-cycle-260919-091309-14683	2026-09-19 09:55:41	github	api_walks	10
jqa-cycle-260919-091309-14683	2026-09-19 09:55:41	github	coverage_warnings	4
jqa-cycle-260919-091309-14683	2026-09-19 09:55:41	cycle	store_kib	4294936
jqa-cycle-260919-095552-25584	2026-09-19 09:58:45	cycle	store_kib	4294936
jqa-cycle-260920-030108-27983	2026-09-20 04:50:29	build	projects_done	44
jqa-cycle-260920-030108-27983	2026-09-20 04:50:29	build	projects_failed	1
jqa-cycle-260920-030108-27983	2026-09-20 04:50:29	build	projects_total	44
jqa-cycle-260920-030108-27983	2026-09-20 04:50:29	cycle	store_kib	3795948
jqa-cycle-260920-045043-96295	2026-09-20 10:05:14	scan	projects_done	118
jqa-cycle-260920-045043-96295	2026-09-20 10:05:14	scan	projects_failed	0
0
jqa-cycle-260920-045043-96295	2026-09-20 10:05:14	scan	projects_total	125
jqa-cycle-260920-045043-96295	2026-09-20 10:05:14	cycle	store_kib	3795948
jqa-cycle-260920-100524-6580	2026-09-20 10:50:05	github	repos_scanned	112
jqa-cycle-260920-100524-6580	2026-09-20 10:50:05	github	api_walks	8
jqa-cycle-260920-100524-6580	2026-09-20 10:50:05	github	coverage_warnings	3
jqa-cycle-260920-100524-6580	2026-09-20 10:50:05	cycle	store_kib	3795948
jqa-cycle-260920-105016-21589	2026-09-20 10:53:13	cycle	store_kib	3795948
